status,practice_name,city,state,specialty,providers_estimate,owner_or_pm_name,title,email,phone,website,source,first_outreach_date,channel,reply_received,call_booked,call_date,outcome,notes
📧 SENT,Integrated Wellness Group,New Haven,CT,Behavioral health (psychotherapy),5-10,,,,(203) 387-9400,https://integratedwellnessgroup.org,web search 2026-05,2026-05-30,linkedin,,,,,Multi-clinician practice founded 2008. Focus on racial trauma. 446A Blake Street #200 New Haven CT 06515. Verify owner / pm via LinkedIn.
📧 SENT,Integral Health Associates,New Haven,CT,Behavioral health (psychiatry+therapy),7,,,,(203) 909-6370,https://www.integralhealthct.com,web search 2026-05,2026-05-30,linkedin,,,,,"Mix of MD/PsyD/APRN/LCSW. 437 Orange Street New Haven CT 06511. Richard Yun MD likely owner — verify. [candidates: Catherine Frankel, LCSW] [2026-05-30: LinkedIn bridge-intro request sent to Kate Pfeiffer (clinician at practice) asking for ops/billing contact]"
📧 SENT,Connecticut Psychiatric and Wellness Center,Hamden + Woodbridge,CT,Behavioral health (psychiatry+therapy),20+,David M. Aversa MD MPH,Medical Director,bhildrew@ctpsychwellness.com,(203) 298-9005,https://ctpsychwellness.com,web search 2026-05,2026-05-30,email + linkedin,,,,,15+ years in service. 2 locations. Slightly larger end of ICP. bhildrew email likely practice mgr.
📧 SENT,Darien Wellness,Darien + New Haven,CT,Behavioral health (psychiatry),10+,,,info@darienwellness.com,(855) 394-3257,https://darienwellness.com,web search 2026-05,2026-05-30,email + linkedin,,,,,Multi-location. Further drive from New Haven but reachable. [candidates: Chris Cholko (Medical Director)]
📧 SENT,Revive Physical Therapy,Cheshire,CT,Physical therapy,4,Ernest F Santoro III DPT FAAOMPT,Founder/Owner,ernest.santoro@gmail.com,(203) 745-4973,https://revivetherapyct.com,web search 2026-05,2026-05-30,email + linkedin,,,,,Founded 2019. Direct-access (no MD referral) — they have insurance-billing pain. Owner-physician small enough that he'll take a meeting.
📧 SENT,Integrated Rehabilitation Services,multiple CT,CT,Physical therapy,unknown 10-30,,,,,https://integrehab.com,web search 2026-05,2026-05-30,linkedin,,,,,25-year practice. Multi-location. Verify it's actually independent (vs hospital-affiliated) before pitching.
📧 SENT,Quinnipiac Physical Therapy & Sports Medicine,North Haven + Hamden,CT,Physical therapy,5-10,,,,,https://qptsm.com,web search 2026-05,2026-05-30,linkedin,,,,,20+ years. Two locations. Owner-operated. Geographically next to Yale.
📧 SENT,Connect Physical Therapy LLC (Maryann),Watertown,CT,Physical therapy,10-20,Maryann Mancini,DPT OCS Co-Owner,mm@connectphysicaltherapyllc.com,(959) 209-4318,https://connectphysicaltherapyllc.com,research 2026-06-01,2026-06-01,email,,,,,"5 locations (Watertown, Southbury, Prospect, Newtown, Litchfield). Voted Best PT 2018-2024. ~15 providers."
📧 SENT,Connect Physical Therapy LLC (Amber),Watertown,CT,Physical therapy,10-20,Amber Hayes,DPT Co-Owner,ah@connectphysicaltherapyllc.com,(959) 209-4318,https://connectphysicaltherapyllc.com,research 2026-06-01,2026-06-01,email,,,,,Co-owner with Maryann Mancini. Same practice.
📧 SENT,Advanced Physical Therapy CT,Central CT,CT,Physical therapy,15-30,Dave,Owner,dave@physicaltherapyct.com,,https://physicaltherapyct.com,research 2026-06-01,2026-06-01,email,,,,,7 locations across central CT. Established practice.
